Sample,B cells,CD4 Naive,CD4 Memory,CD8 Naive,CD8 Memory,CD8 Effector,Treg cell,Th cell,Monocytes CD16,Monocytes CD14,DC,pDC,NK,Plasma,Step1,Step2,Step3,Step4.T cell.recruiting,Step4.CD4 T cell.recruiting,Step4.CD8 T cell.recruiting,Step4.Th1 cell.recruiting,Step4.Dendritic cell.recruiting,Step4.Th22 cell.recruiting,Step4.Macrophage.recruiting,Step4.Monocyte.recruiting,Step4.Neutrophil.recruiting,Step4.NK cell.recruiting,Step4.Eosinophil.recruiting,Step4.Basophil.recruiting,Step4.Th17 cell.recruiting,Step4.B cell.recruiting,Step4.Th2 cell.recruiting,Step4.Treg cell.recruiting,Step4.MDSC.recruiting,Step5,Step6,Step7
TCGA.Q1.A6DV.01A.11R.A32P.07,0,0.107189473,0.446442098,0,0,0,0.04091968,0.085656653,0,0,0.122279483,0.196353563,0,0.001159051,4.092,-0.886,-1.559,-1.407,0.863,0.014,-0.052,-1.229,0.332,-0.48,0.022,3.134,-1.121,-1.765,-1.916,0.881,0.583,-0.506,-0.225,-1.02,-0.259,1.716,1.963
TCGA.Q1.A73P.01A.11R.A32P.07,0.00662198,0.269083741,0.075895197,0,0,0,0,0.33644341,0,0.022001882,0.032875268,0.256969121,0,0.000109401,4.465,-0.39,-4.104,1.322,1.809,2.634,1.805,-0.005,-0.235,0.224,-0.657,0.952,2.058,-1.742,-0.866,0.689,-0.965,-1.674,-0.98,-0.71,0.311,-0.778,0.941
TCGA.VS.A8QH.01A.11R.A37O.07,0,0,0.230321239,0.065811097,0,0,0,0.467014492,0,0.027227247,0.044121302,0.159580769,0.004595758,0.001328097,4.325,-1.295,-5.702,-0.229,-0.383,-0.116,1.253,0.809,0.056,1.015,0.723,-0.967,1.128,1.18,-0.93,-0.707,-0.136,-0.473,-1.059,-1.103,-0.951,1.56,0.231
TCGA.VS.A952.01A.11R.A38B.07,0,0.300267263,0.227596315,0,0,0.001793013,0,0.135710748,0,0,0.102364589,0.219043023,0,0.013225049,4.292,-0.703,-4.491,-1.34,0.078,-0.64,-0.308,-0.221,-0.125,-0.966,-0.788,-0.658,0.14,-2.268,-1.574,-1.126,-0.462,-1.145,0.584,-1.032,-2.093,1.866,-0.005
TCGA.VS.A9UP.01A.11R.A42T.07,0,0.042462383,0.381416703,0,0,0.00575476,0,0.313156609,0.017190623,0,0,0.223176479,0.000159179,0.016683264,4.766,0.512,-0.181,-1.584,0.145,0.33,-2.699,-0.806,1.218,0.255,-0.294,-0.831,-1.584,-1.755,-1.499,0.541,-0.574,-1.207,-1.368,-1.386,-1.086,0.721,-2.584
TCGA.VS.A9UQ.01A.21R.A42T.07,0.000343502,0.255460267,0.064683119,0,0,0.020465291,0,0.231795224,0,0.041695926,0.095448403,0.288540654,0,0.001567614,4.573,-0.604,-2.416,-1.551,1.638,0.724,-1.107,-1.379,-0.768,-1.066,-0.753,-0.228,0.657,-2.202,-1.187,0.91,-0.698,0.573,0.278,0.608,0.858,0.038,-2.233
TCGA.VS.A9UR.01A.11R.A42T.07,0.144681996,0.090973885,0.26587153,0,0,0.014701434,0,0.129688597,0.015717553,0,0.1217522,0.213926448,0.002686357,0,4.922,-0.354,-2.462,0.271,-0.127,0.558,-0.778,0.724,-0.384,0.212,-0.321,0.359,-0.383,-0.711,-1.545,-0.434,1.004,-1.846,-0.641,-1.7,-1.211,-0.623,0.669
TCGA.VS.A9UZ.01A.11R.A42T.07,0.248523748,0,0.135529429,0,0.014950615,0.002883748,0.00570889,0.164109217,0,0,0.033789772,0.391643982,0,0.0028606,4.52,-0.394,-2.246,0.631,1.704,0.965,-1.331,0.428,0.022,0.889,0.361,-0.756,0.324,-1.328,-0.641,0.6,0.81,-1.351,0.062,-0.854,-0.033,0.659,0.202
TCGA.VS.A9V0.01A.11R.A42T.07,0,0.223194871,0.353816405,0,0,0.019359213,0,0.196258156,0.018519976,0,0.025430345,0.161806968,0,0.001614067,4.297,-0.581,-1.398,-1.955,-0.059,-1.17,-1.451,-1.43,-0.192,0.286,-1.278,2.263,-0.601,-2.835,-1.493,0.187,-0.263,-1.413,-1.212,-0.455,-1.685,0.624,-1.061
TCGA.VS.A9V1.01A.11R.A42T.07,0,0,0.355063739,0,0,0.00020292,0,0.26407005,0.031262079,0.035478909,0.063089408,0.241122878,0,0.009710019,4.352,-0.647,-2.054,-0.611,-0.852,1.051,-1.585,-1.267,-0.518,-0.082,0.214,2.53,0.399,-1.247,-1.534,-0.14,0.022,-1.829,-2.449,0.653,-0.051,2.313,0.285
TCGA.VS.A9V5.01A.11R.A42T.07,0,0.088720077,0.387995848,0,0,0,0,0.14412932,0,0.046279224,0.085305712,0.242315683,0.003823126,0.001431011,4.672,-1.196,-2.817,-0.095,0.472,0.479,-0.916,0.109,0.685,-0.763,0.959,1.852,-0.547,-0.656,0.109,-1.49,0.163,-1.061,-1.489,0.075,-1.225,2.174,-1.65
